p,q,g
28782868376296400210354530308677581904122743235020956883100497580384303524436339328344140905692612722942112977527405251320048250186640905773489946633074882151393843118868430888783809521039852885383823249984053482529594900310188351288137705947790854247748466195168160699362726749315767982994894422286531157384217678524844658665219925925725998206765169515135783175050950382832370916566136629390141765630601442013187295485203277615933862772337287923572262581953756170837250933187897109824488395539440573484319494789959447886734715970946709390539035672299706296980013801512545445922068988759326359390931679537264779902753,103129245827407052431206800065018754718100966815212553369604295931110871331752,11716353426028435059914256005399166890607837012838152080560750278866235894993588997647599314720929881111365651434824646920969639136215708338676272642957465644582069064508073798594096100103742070150228488465016421253769663272236752447048730362434069020223886736430177414578627256721076727735019204638288020157198338957588420322997580975151315498126484270261335811193492282830800821849918155812902847370133865550265363484945402661856938286501432880697471589735929013102900546401639261251043683744169840891446150780433639465581044646740505497623573037280534082544285872280168333855104352347293370041590228172148402434699
31833723836699998133464550987239547419951715170816775825678433928570865758750028806891018942657013026420350651668121610323194852154031728832779851463512379233756496175063279113025660041791383283450657871994853524834719078913911215938199380864543372696923082107248003060801917223829678058872449897050118300254829428405721054018818124869310279303022440436212910829970120307979213577715706717109606756388174311023827846425640789555334077547427678178183663862616057380012466029446440117549439786183318887038657240766192050866125159964795762068138754226003724369970624657115996812759964345036572524884402184422967672924041,114060485155137137011986278985971299088013629779146079957688180698995608834769,26799298771744764658056164949734372362908313951564734202354540488344121324721981854957616008042412630524487927231042447911504285047338302643234564220764285127823204352324928894994372567260986318913845072221310519744787177216932422452581816235096659983129240234368124894509429046263534883690997739396309335072211388362314149841060947298103683274554835375260181990648426952426574844616644420297066843338257068027873263666705025698389110185042919394703657716683674096497431992363598513913300792590912434248941210552215812148773759704725420134014758781655353805835597696580889001478971649837746433256885169562615282716185
31514286302122648149215692815828620788026215486529344097477685107302238232897450797437027024977445432115101537690149366041486292373672354766009039679541391480574658942079566024629479731278367989884852066332072455427933037178516861674674908790497298623033500169359410005424632172586402181398106035090856434954826964814149547291308487563625458594979339388622547545815100023664432318660855051033372871249410645275121380188587916350348701421799793453143340071079362270599847560751480474402382098341412404671021756139798808772897302463369440281649426908605831532776180505865899407936607375496298941292868224138323953546641,112915937933531584447316519684636006359719021704604154489766084615327340891844,4928347462124549266425409661181022495356144679715192157630288355412379037347492438562723487766604666853654846142642474130029255584911662607121094067365285875362523208519673961514296977685913911511960391460278792008455238986632941677141273968889189760500830201640477259137329786401711977227800569159129199330539644463467881397431848350126358499942810872343932088149706157168268747782499421676923800834893166137902604372416607338160482133892350907488755152543159877055096673472010657535525951671035227120592060572408111140334293669351798090607154932175675659886588215955627520040267585676006341006193793250212102627414
25775942640193196220062248755379954597381549918896898535606884697469643655017842757823628196267003786156854179673198112191479717743845999864624763523261608136642878033834773393843516979879832718243176695055166190421154750424514955969695358650584115813617440829750552297589334515407231874473847573718645382137301372020384580246263725652420703220734715360197227698538961549475763071283317772924009566950697792779989164623934395730507563500091408322026193086360171229177176667838075621410244211850106116375872187710723132387489461412878423440740137355143213039225621281827045788608507461315127115257263438856783819374721,92355407050493386927505852105501529427991127551447611056508149518480312167432,302342958643647903218555452968557097407301285996400653501361249694626023958466082400278916959992669639598731144985240904965303281042507776476955514255657224512370388787305688221941222937354289428862241975951429355410970266165443160408214536328346198655880618551450242599767175427548657326914108894729579993219749306766687956066504584461921433383362495433176542816268542889138333925180542993101185323778202138422685653569308259896993220735685382637730398028283672235311531257740898368569345811196934778892885186565262362466193703685683587198974516416738848574146281307282718673080035132377952886154507050901546494051
20236372593999286548273511368173440248811620142974409376364092584153730443975011878591851387585641947531897012896655225410229214201395389240048107434682634811444478622231101979728441891692286153506802952069860725766949950595344887473026763665638171017843377746644312456418881525165023359732707531498759332611189443424442049249712337397451506844283468683393445254148884285704433704518351565440482520791105502790123223591860761769541747777949339862811588525486885742926639990355454945046088193495061261778886435700958070103814538801094745209839456766420263499110949982384811439332595286734054158561717835742064120553861,72507083610201763072831626447207269243494617101229280435314527690548663987294,15237501826711384918369079844319362007334628282812219264969287140956523326814472402117918386991788591635978574113997407523874626940247833956487630538024346268661779254448117787056678337165030714707806212869972032502504298171355222435380238715891126106364743315157807038131024633345210432891882640377337876109477007278584367812584352370427835725278321146995142348771200021265188150321050981540541618307803316805360337499139521768913479121001782064933954625476263387118830528638983969232768207622453133805552662685229072792315624326413900618708594773653385279507732595872174982439725328494147510030223252396619216613893
19789377704524828525368297897434919572844381945846980343235609024042243101596588234169326400794038722542032967537972628446092240886641531884123724263566235493579723444657284763515612821557915769565668089128795564695436979822700305100543169177113501834659958365207762482394318954953596287439290973794380925248832824142681465946723029635613265030738978081935069656154031908705211645729036745340122752347626866355116164394073967718915405810781881601201182060843636294967682392124710008066063458147336324420309734599812859025016740458187762462320779502998029480637381402414672256905214230054993067893996059131073090453517,70905497373641358765861511239484172702608240531273552694311249619100413700723,3652972800977278065513138646108999656896771856021528884180405717870374828271192766122202539353887987013087188586400915465034996626160883592364749313037185473616042552893137584207206751321821448186474277895320093095356815311258565620422149329729237428273581520428753751609486354177526749283847877986750617860307714050252075591676145178606925298208523740127849652324532652694383332438257516358650974178393211912738943424088083937245194144502677842171989094011164485894706473540103324823197630671738454313968137052088850702449654831560688633411990769252735546993938198831448749323398457469109128262936760604258246080992
23094786550990019954962164125695778865130943134360510646674420908747997452301967363478039358054208743650018991349795242298788669507613296970302461717805913837241868325347944990277252852092369662819193727742686887366344596427708114569383623000142192187135716147040688295177257247813287936248192408980783443276942261843927580032759563753581401666470684621160690037599377568930064915068372239073051440776054358903343994590249905597144874649761889597413576228435039049238706283407685293022966628238988029563253607305221524978712292259272315521911289400131897506592175535131585521016242963281038679547521032552989876655051,82748803503892216263650252863724471724726872517102637590954351408796340841623,1727530495229585639207183989430289634191655751377396796546860137362972963177051190678925724551865529652780992383109641730699613753958505465466607499077187555051717094534030203279108028995113295502906665173303993285892898969028993115968938600540410021240121440592795716124170809616276949576060274400901700451335601049748142161986110514545733014267405107340613851930009886718164052969290800143114906863731301307504149414496583269392498920949095792657545086112974847092594506262200549621286578196106533022846958758722037932290268511455019282026759793681532664908485752800281305045189093722840521383916952180893917060324
18502809668178815378530477739215510681532331487166788841107341683201561880836066693583305714669553513675187362084272246620135052897966365145147063208347311061248409812500163545767434084945892446679695220537138622613906476815885028824118326303710495445993104673024548113317862762870367979643943009563391399322109135369619576739426289673507954876133649313368020424709257023554495647591286968706038202872767442041394197938784691146089809114954408020355113241829681836448115525705605183573936178108750972974241656792596484199764890334241265981534331516955018300884698505972740926970893277140386435848742572096861131948161,66295713888570745576185462373692580013017053287491424827943755054863437073640,12382759564717388456689055682756911943489567378190686927815041857328339783078105023556960948427115846718929899770945088849516199158416157576757694527116394478303641272606117854663323287690949838387600472804237212007222713159302788477646657956653244942647594101488594234281970855302913375250200312372757075266164884084301808140843354602917607850311198089115741562147298144362326021631895538661928687569101685813981426569295193161214575216352012951666159370617091458021544103349889333133295876164539456428656165799321382579130072899518107601019967238635410427478027955451265987378159090203636258977277362832456422107307
28239507992384444274616369901092898858753394781791851802431383679542484693937607633766162996490040295702742763066360705614351123365320545696571332381058800276331921190599892816160623985907514735371516952061923098362153012562401730214898020876397733737311491904687972392485300452682149050798446883086344931110667309347029294691792532969865111638077610196077324808861975201296058120686522210462563040508175195191201283440634176037593009968279643040964719829473180949769609569787239658282048918102143744717798722122696745621652449011189027190196751560612555835462409995969886667194317098637172188297228838462258743429499,101182381259472673995547380789768831537251202126205338593934675537498250991009,14830140793346709009891737255984286982307263537692784085106113383491951829308540132191897825388836059678275037971472128734141307955369069314896813120342419397552325681797247637933969102975708196849962436175256877555484291041238934965755314954142928378491957322711226732566996067583082975730477951408252692535316473154351342469726694082878860044914044368608191154312258567643499872317037235588700093300208542618369205720866866031789482649743415781325443713127736432310668569351806438596434404026855494670693093744488051942538888767469828397518647120277930564277473715897838697949329237248264088926106472762909632773915
28546185774475496583890472241045186460301965379685077058939605601132919560778076755482436244561807602664674902556456694357013026316730001234342941044372501218225642354659928729284440489078774286624598180971687715674314474206980480492603696300461696769524590596963872150653130051015442634936082612770436723305629983538011697187377357313333420477767727415531782439560610708897315009720098994747152525963586373766243339833172963699106458066118076294844009748793677037958975519289001722822741709310997505191798041225333399613982142671571021590632275693668023297223626518596390591377021454303656947674617385877469951327249,102281210186652089747043105954309757020009659520582379021652711449749614746998,22169155022977062010669369163597186240676411875738887576610087627427621893918383828453551650046603813985632487659609156765913571158368797873824720876021259622468009619354674856862420003831215843909201945663525017964723699478346313781896172920452789415112750088229768626695905194049513446625289562620113849198192184018549921303719086907225741014380429573276211830524913284623049312082493309190875568060712382047342858297196225515710485519151004921474639425733795198504573354852443305434268569547371552392530609998117292571516051796240412950566215819502312823336041978177996994981871969554280854526769360884079608004796
23016861653972616501473349589314980389475514159897791615812701490723064343501807746088987115801756858284450309091875603100391814787225396846129528727659557449389702835994320014700955274197398701275383528099455083411814863280195453655176879220450156127691717197654693847488826366988628141403460743998139584278946261847378345675737461268943187998454669060491798787333234244674931981409636883416745507326910933985721602818333154284011860211339241321056981500749318441283894358887978303801375417259258584695230608220803427017527502501092906189828736187559842173158200489731803477455376283287260888555489794174541927490153,82469597979428179337371467270431485554527219964649041739399409055519490157267,20925463579838267225069339142945405823023034511612686717344211368070352351998099260959697154474500809495581532226952234018413311904945840888930818093815375087381769566021896696864865035914095740340464649397967393059092987106684738175122436321498511222634101326093446021485242092855418436218990354373539473694119824549452564331741487966005933351122783164635431723723904900302328719229257612077638462833210055276775695982395050737448055754195367785910852686327877132220208398168858414756312012455886223479745271432158642466492916957397860246011079372056942399879162415311481158799211104879762307821699401237013809697852
30544384012229774799990444569488090769319678679902619853557704613854325393434475709951351012036597371337889658356238329347946569146622421783866162180611707427162975654068007003821969537246501805148601883257340750361974070941856226480291645927076349430893640563579634278845492878286983221854351707736967142157747676102206583358892465806228773532950267541999314510530867631993141717131379099593131722423238070249781502678817795053988280111738931372276334531072332236661355435338457981114910539289928515236481612044835081079240436515754956700849817779465052475623332121781585435708974520351467224259455960628593455109441,109440770331219191695664423496243395962964335835879122346489373867356625422240,15127525536319871005035026798917284047276346990723588273502211635134324396277304000571175557606081207783964763593594627394102511221173392848947646846244293963937427474895143541266152000760451412836003189988352573229361939989982603789661667105468113827163886264574673267831596501250705166735404281273327111658544091746859837943674035875120399281093636697090608389208379118917521642687712720582716487525592416944701588055918217734794151100487945755778286862847842770847277957545561885847764262844750856383567948241022108619221168593392448580181847940446165659264696101818581243263859980082549711591708585776570500790134
23952080356228729499537314035004092475163001517253903830427418064372704571872839828304310055586693653155360314811297856196180366752655332040242716113852340980614881324224391825336662031866988140091782120662897302934218475794129966392977680847073640992745188302059809516189872347921630965912236529153690626953962987535131092366488845895176718794928096301320932863021429929340675814751754843228397735587258774336264502987270089841994954477175056703807799493282271439755300096027927785278466381701936461491869154591312457419035896793678536320691002696676599950296846676053866149698061583771183881015688847777074349525459,85820494011971884343138675259831441297441655983354433058000655461528675257849,2769584988572196653576921284719678399526313088782902937937834156215201715508430809657907605314318871207283116840688288801967034628094715289823030523836809786694914286584140528456993334603461639806942322547195559454391376563628543744976581729180735535831628454862069190578222538064773028597911499069868858366446503005422114693437293607400259491409879718485969844712371694635903361604831398354454143817812948983263822323759527024711519960654851768294833114943384894179273488288757561586135579150636464413412579311015872813326041842203818369133309512325821824604062436601508682218862982656337529289636466625382448783707
30533388301650321077196035213665503207917990179063212152001653008380735790394648601503756259340795753813595938296659448498460643936742482108043378855095937126438371590590490676053546389877110649819314661781017191234732295483701309095218182066032879094667522573401300720231958878054244228115583526308231451754484122143487864169758376462996896243449377811756959920210143931900321258865054082678850225536511060809622516438273331197440387180252538376923767547534755980383149175915575221061541851773965569719334409547782649098084826129098210241070489311808841859452266075349114828692308442781271785895899726573863143922577,109401372612945589361758681128767418436126281889110476408997938701974086116636,28316583331410175857773655072785341072948636322676354183084765565578874353161476656493421235505735649647446168330057045355076222245204053994365285434732381700419758166549954073931741103433425915687447679837561999019077938775692457326594948698072776896299102999185638104033255185426327521416510529541402671586733101296849404528669177274562467715987681528557018813064115300307547554967532719230642069330056284053872462872361891172702388292292877597664927365150471224971803952682102894899905647450694579884666045757278363092576486541661759733162421450548345822338153718656272576145740936066087376137810676925241030062893
25782397770745597730010252978866841724652153356831056901086107279597585712018389814075950687201378166720685752877527048396228559104503716889226528268316940894789261156406843364052410026456250543968790433185730789823497596607875405286599675378502692199830936239400039095036041949497818904644377612287475847727935642377935613543441227250183122362617418031797964625799379997193673456263521357735646904845095946871674882797514563197634993246164858732215553645789481614293905949741269936255824599718476193612954705910434609910737060182937804881949387261886323669319544314794483147056672229041812215868512647265059725069081,92378535834493763229152872841268576310746886635173715428242340983789886608381,13771046792792501118541002018868496060286258993917179769650531120317363293833260594897517539291237871447827056688208211489614995192558751917979671647747062457357735449529183901187630082239248973577662068161402475798665456548843384161201135978311197990585193005708551586475701672435239180015856472846972287416655077742108074506138469826500132425358377123814331368429060580430478478171554448553556729278477980158293522898581687437138227623662623262585148867033118051671711899095251266426171844880060905834723414599969798906363370066869687585972671001718736491497127169512905884792880268743850292191524471623890293615501
20691335760973735329856345440575558853051083441643412039041879444638544429030763910957384991154825032174734865276542461252527567415133628050384576409313630643733290470508464554622914949849681060947498110773254456987604372818941572544545791715076847583545614457510316599246243142550627209173752218073090916759874351508522472994610897672747879436126215390631039202449915399541693850302408127850789461318263497786313076908479267256757468693913412205147042552452555168513559501538064549775021303975918013113849629687143315950030793898632334241097108856717607911811370719880890488730594755648065552048071692862075526958549,74137220248284841566789603632917465381880094900826881994047206835573588514077,16904751050958188578492428088998396997561008897069312679673042678741926878690617595449359258603559415439421987232784540679419896252753356172142566573377361782951910235251733017052272382961905760840140713256581983169824062419406457766899537143843693329044233009562635710200167352370307121926918148603132477107629644597972889623164854725812702672915825583459906337813797548742978941260921725439644100382562558004627228983192876842222173253115468204068771504575353140172017565624467508188424666918810662750029465061070832425297240236212150842388198689231304693277949079111547669101924515889099032258774242177179359875080
16733265539842322275576335344625288653592522707188345798468706798843410352346052556646791619189826798723575797809899419943010476281257866913198989208058662322761322981256808102768295476514230788914445158961886795351792057226211993546852607375598016704113597639146871911650529762515985977570435416160060104865428023046351910950103441492631717756360874075028793714708575249215086230983523180904098652171117862458130973768353706088329723194929766448032566040465061929273147358265664182293048917581551655005556024305792316004890631627798190092946513094646636651266166865621041627354687091913006870836329057023869233097533,59955423232760130005828391826338805372606430076292098603511316620504673830653,14340431564450420736752590322328488152027932947762522426334012107786072185706089588824106638606413514600694177866873333901990951722989777002554359427656780839833978371857391786185272776138929159956218331785553053547797350106012217077656894474425147862748866303975591810796238642988276055830060692208383051937181512990369796424273007437704434636968333406122256939708557059012912621436828449990350522782926109454208230082880168101880822203837544326288306846625737837118066977588607472388544562313005280301898668829600241290481879755648736896024575097568824287424235131363283300930310529758884109808821257143545766885767
21914766515655089354184498319421636784242473147362476993244286587158573058765437591169673511710211102433872066419541559083465656948911249351328704022261334836799788091082114952637375634849144583566348263982482991670614078363412011872194160462886975612393918898595392527255576465163824242048731721859379392665779703885232918673736980471033620472832554261854031748369743622246826470099658942670638524365765257325790939531336362778573707916663635873485207021974072624014609304619481004595925769287014575303131447931398455764406990788756313209224027567551610441235487098193162944999726923511851089264125515840325521567861,78520782352062159759727383392354748840624582462148528426486820971998068777846,3053359330585201555175345766965617008367773882274985754696055958899769282467300623342173617513277486070894993933237131310766558589782112450783906108516981173927290867451370753433281389360318441565953839333228743848186639871686284686290266664957691801238236823379571031198262650046863882432177046156573552914640192735815289501204720324626192477663397892289759490226899743800057713603748278594357593345533355372542929743370049146809411404022529706813802608574994017791228850867022610457888834267701874271111967749176129556026485963848215739899036281793440624132471361492687367487063936673407713644725412820610713355235
18693614954543005370016941343070103547219342449253041645696873152652141449913534367442556780934928095965167531091552545205253722826556411437912649376746637554317429031611324521335628942067603067024010255527930726485132812914838220311027539273178824203043367034190049171927758049736445915483182516168318409047078831434952778109127704531980569684529671416515489734616680094581351821571097943371828460217512469101137927309105423985585253324740958362967049764094371596860279893806661789778343756975213441040963232621448280297268297010538354809281568424847461716319001805548359462037361923976578096875609468950198912642849,66979370743939145097149893895035338863366930310618609521106890642124737551673,16666527138659638184290836599804626434884805729774613967662960709616822509895238908592588340851325984707780594909186083816648205470219082407023397221789808612314243308807093588510805492832998940756651321796595334445530569284544993144446041466043887453804292905572100775369902189749850639427532160744166321272465474988810785231260026911986841879850572643074861114960988191671188613480988127872178113143665370464912609894747233656711581795924506003103378719245818651840344383783342811401145887799665467998802565954791073320836333815945506727293929752223686820160066020151150257160659189876241571921963377693342174737684
30942636964663819342999936783761185115113047688372412688101158345006113332980165069037734213251052776737206475855171905475527985889585486360054139657914069817586210661873881097906795941271027026389081651420646312638842091091877563012289927274797036825721750066202137991081278202054012854205550696866416111217684287416033034837978361878688698182327869136337086019744834088624671528573492327272979727997335610162504496250953456078531024447450345737094632695333259260385089355166756800686648412896311863059288650097641010556107065820476656427925273890726526084644104434826509211612544440585968886557346222284400053248519,110867713820523576831418605554390091171193352096219809388625951869272648297937,10550461895572053230311796715853832171842311833875877011664634169671835518760944590629201557170393472348470816839485966699656981922049304444780288041858541993580961886106613994604525018659223505147348096177907062159271159558670610284006586261827751767403272489898260934580855209305111188888503781849502628523779927558474620272280609625648347603253434360294184321648927010243724568033922182116195448425770785377584996036102504718757362892758025897311504244698572209126645619556576282861809218474162285150892540328473047076770016750865655096660742497709010280252229934962131036405684215290815899322015651714693253743440
31977357019236409321731255343329274004985123092932262742422692167274110753486484078180738065752471653977534399583056034495906178690850755990342211540653800668067046610024587655166501928822105079932737424359371177081809916220306498279168322571064812938243591149862618836811822484378568796327411422492675984792622450946811737726619128756962477561624467891590926747285401028403429741889197253080905244866744860449607605886922704416370558460824326527419008206414812888312978299035523867507173214132925574249545456710087367563052196578392264447591202984727679269737574256990983582336774930375071896549993322235739189372871,114575123988109363365293283038762832255239413024986223187445317002202682561105,31341281806868943782820464276544932491633393823367389653598034501596475184424637417138021067858215831721793061858053960527908864456428817773550792456315404950455025980416762332732839880338095627851293597174457845092537941182525343182771618247889349505499597207660746149426816047728671422405882814708024470816344973426483905322863263054245363397760985342908408113627970326916936836048581718508522834672603692390883532057492514468858118922435671808004314376000304561020125634992780831858936279097734496034218424596297328390390348877610567551252544751217898998284865078905306778647622078174859257288375895863430494195787
