p,g
160687280649924651878681918630953515127265289527399131391170069595106869347678375169977850808185739060663759131633793346942526717878886460952316928178811311861669091172427134764902311233663070125107742627996688280891178030841415361507723928884547545748841021167208304943224664431877802746249689159166356250103,2
155288417309321156405436822023319092071193311970338830347769909609294105529325086722347398680105912305937077339372121864552331385755277763089849959116061579516635724855790101411294018916923807629907676603968368503146011086253929571421288175778314587870300564304222608526136930986075105136466583753722203821803,2
96890506648479132358811079872572552988682147106740946755886062068391734946927396351565754055234610988100409685149983749335724968411415753853217091338095773052294460066722448940203443424090994475472265434746371677258371985860703126169433693485949361489458881307559296093125569424293608773487118246395499433263,2
159418842715009603134352524488548508787686576169082313256027022404782091872870853840893446033658109083642467210279116151057040502155564751051906086027508865593135102330056183850721684759479964479014347063326813959853596464341901098291295547448935174531510228373632894918052838290142331301421386857265809201467,2
92672051158206030985504456081265417679793971518933587982881397690620216965985621353546833417357700191387050545015783612959380690400739354189201072395249526796793567850789811771406430494730591190716836933477827933308158492790571291849547251582522499881633432801019124851384150315162940221734523911177166170543,2
130988440013056509408366577772676629348081052317263204268065207452386281539745952642419077554670348796951914209131754078174549561774046363207920958713098872992162442753979055014299659486118172237745311742016239066199051322124204457792202978277377893425302343738674300712940881038991166266746469845802080195663,2
168459480507654970193323915717981730621958441868643011260327818736935940947232543415726183213459418029401096905658980221734882397857890040013563843290965633080214760628575715861723840550013614847138174089255542976809243366762282180828729116235113125605491100383666635946110876770572510811175285671787942461463,2
129662507341800340366260900644973000889811766138372254373609463371154752590300551280103622132734427518581098022684776062885217863380008822395573104113628849067017128650402447712691222651871330092485294244334778755254549485750734297375482315069375446492629407810929165415509749025824542153087563487220155820523,2
158252421542442985857998400870794077521646132119722103648346906278247396099437885893614635929968336758783275191821453567809088458762390051655992690839575793399730960826595170968644630359960808163424873865002565745252196410140701855395412927768212746227733155726507406456300380030530655911079600668811622854787,2
129483093268935214286453957075175494091773375455201054763419009826840668781010491761518997801392754033823349831906514209462797714495203175746585287559884497989072377104208448448593511512043207867607727627464390063566687530968631591370103114777005528415341001069554468676126683468314962516746346015891115168003,2
176671853948464073890753589720726935860471501931629463520731204761507169131941511413786701565195960529675519319423348031519654858377149424907006775094323847855805328098181648567634142071014230081570006510445235662300312795433695883209799259672389278389151380756259681160426713332889755168024745930184390008223,2
114695283919958939415752297578910664344456209714958894285087754079785113507282140141412640386015445360550479157218208448936642792337573549474368839951492126236835207904163610601700021938747152236391144597811407472228177478594119234701978453263557393167801256614835036817926635671019745561027270016398439939583,2
147615456070004764301287440867690296167145793575746789856694265111372602377942141598262550406879656261637521436640909820578890145981745447923299817300592332938712030637777476474668237182594817645680234048396212329296371462541730390200400097609053558468066910709989941939083440317701490726827202037248757230823,2
116286434277136556550518841224042837628763150147063536364520783808460810038211250528591774017315310263237702079069543269141607408466752756483730608972696676284951697710765709712424254832625309563910253040403636673968010184573614576326198524519038311223926527831170315829202235150668829230740392477517638728103,2
99956164212100132149411460521217158160163967586117298283204392203146634528657442629535215938015972295702533286001947867055309005565668875590556106586794678986875229078983624292640501146587997438392588728923767791593332230974591047286088646939177938596121879694209031905361725403582733894548741278305787370767,2
125556732512900269310235859507283310209786861720327751007765804026689049646952587942892861143226066448543228779716347675046598537343076378766859867201410660886992296099001425966457074317881173328100515427485228934868127678283280293263893538057366175479002974778553096864428192839911615028233498731178197708567,2
104279882203483767803267319973180835155589620220340907526965373166299023911974283730665564725466052172673224897544646940123567687382657017692876592912448975918701965388769482836750080679856175818945946157016204114548661955542976165104106385533303313485491420429682982457571973894964873461328153734552220796883,2
159022458813812068463194472067572330308522468061922646828427318195519854389248656497349407210628436900902540311117951951956386544106353261304026737641158828245631584047344322306179137855552818478677172616481833506924627536307605213956456159473058480880455941993154496708582077215483524705406091556807076917727,2
93370630265730179772756977304571052165985004778183669085099003544991948619711435230470609911779959924212182725225124515496879525414342448641815018016176001118477874603185688161560217956708854291029077769607995728203898668483540424342829814927066864914177893832099982092613481889230011446068372946958898564683,2
110323685380178377111496205666132501152247455285037731002203915622797068464201304282721107853100956251854848838590248096767227849432408701026303175386657933039606011875141143529110987264595273951824122236019417291410356144106418719069005384155341454739227067255213136443224377100373804217939373526770326373223,2
140894663600205512984256511962047967182442612969380074179540462458474835706069254890073447725219516097487447660914366447810028908774263639616172072682350313511964159631735802793481035554859005132479684163874355250857766621642625040259636741483847984591277079733652875769334519385807256758230209812168352718763,2
98342307005769713876103232079225177001104822258280863069370419868036983580911824547812786475851807912384009431193140591426300697175493218596978379213838461175374129263268162444362965083771159036801614417924095363197461826311691737760540392463423560839387827877800153134311990314902501635048939076885711892647,2
95768601337345397297915430551117761169982214693250412058550560882212521337835043265233118105288277305091668662640379828348314394645833897258203644199632725500637443834278363368970549225264364442803426506315616747603211705985325732109514733505178246387189122760702608169046101578054120689809203085017737202307,2
158281054466026736890161442416061487953185419556898859913046076003826392014278626380427792912281247651820481284309476130865300389831485045881319871922095796897770570837143610919704371059126112960501923927574629144333752304358948422940950866960934581661662443194107735883377240878510829860202648410921560694263,2
90457734281865115807513560359137934607223974773211439662043649280157611098800146119128749716226740431003491285096594517720074427258744322007990063125891372290593089384169854797271376756851217759248705227334243393404445645241121068648632394473203807184359469279554306202317946283298583218447458484278366723307,2
116843325556437038178420079590625930448809298576950105914815878341046808418015356457881766979231681991714181153010517279113556446910156962161018729797718002238882667351543839960462116928331452662456377110731365792191095175669785784266196320469993088252678064944755262652098336790826891352414998114325018438567,2
113240234398345007631981056038943457229115231976390719475080686653809025489264909382223972530928167381747872684032883545949802152674549312025626386479281605561624609222467807929680322467755930491946112909956453174724074500816535498016223598468145388997703944175077763120549319796367707576246621653965437650803,2
142865018740809958406620033200833136619988994140955218521979120801214179468158845873695340936739609941387016507962719486437898788697817886478878460536471937932469834207123051285312531710233451160637840004919708994720317731717026600738824633103120352059282835453529721089083769032309084406987098635390380140843,2
118256509651406236506601344051456390409685008326739166662027743382625520807202372725226141539899859561586682547370882547792654447897250298951807317227447247300810251132408804174263592223305472593220446128308112306603783855008328719800018512873015351293570649724655235786800810595448671490273722289839009642243,2
141883101778165452574597616642627532298803479823849083581748565371460828948265492633874373267873532440764265130556662205466135943283784999715614402556058543433745255995328597464112953827630198550102399037426763365774505658253988178874026469538488828572515398755270783707983887770278358627117898977198709525907,2
128680477676600556323538813754141631709343046958337745357397201362567072166578347879878754970283744562773272285608595193215019587222285616243827782005756382869690954276248751130624667300167662756969807715130416559055000422296260289542911529656967450119993007111491064869292888109518883052598322124659422376903,2
117601919178823053713684119200128471862883127047560199269570251191323127340272333543566475602095371772203250614604615923895961824744752382714880141753826527168360913046714909551909497191603905606702873643251832707137071945663888636046989004197615851007714333396405069616466928184259432708489713824225881754947,2
101366302947853390543393663731787581459613204613219580400805309595329729925229677072796507112450941304317009991585327639288866700358264292515979328155617773357882895534025643933951172498928424084578767089237878131322450943993294666994419487288972865889286181340550708645342366027422359170505595651625922206703,2
140651402945340321356207217748490330411038812761148473700399060824847908911511199940303563259081240987416547580907700156569265407838147328176500532997487300612435901569261335290869058176227901270746730895118696376657538278491413687573950987168370535214533004661393053584696389725343361596750013999827290049027,2
101364400394552716193642083255694898554137402065014002932923131320775805511308352663498206370905401468234603669395284874237000855261428544624619412812275203334104409622710905597707304733457924546231966223832198027024516176716031205964187677402937447826460243295063340799596695539139750136224638188377207494243,2
126862223914303271113537237788062859730531747310553827497314183566855072458052890988025104566534064535767780301452753836757635374584818525616331955118691367592155139127160671819623601221054977775616167936487012431409813403801758099455825567519546032009934358215042028365893508178500861016728395130764934519803,2
140386490101900894680230242104622926997839013869464994094168599102583142083926973172477917212567646208371647950104408586864837354715407312085379860261031347469203481008105228911230982670686268789475904920397674931463445278200883438139932266448037074465121066812874697225927690115082380414560158755072032125747,2
117937506953319657485921625489262016731847022299209637124765360037278735537972065604660269221420040900243651871797909228951857316516364076044871956325490750607753829162481620051200179259664455097571710877739454465199831554504274201028420834780337844230449604313381423997592241413003597308055337846868224418703,2
148087971017107488734205447626974074951025517579462941820944648959626687625449357336311656938358356706541481117561079883017079079364277748800816786283708073274929235046863158031349824347666987862601258975709709274928388523508306408860884670238004322462169277639197713916877857714233329061933041881296289350863,2
112411456882621648418468175074484155967474719215553811693064813526171298003179713473436530216477512601292466861144852421288884752353318173511301035138839238746944543185699786467952384611847759749339025987210196940687968691194620643728843675986425440656470000776196186985046164708051826890743117242104192157667,2
163344177513944858195082789912443445668598791191649003191078239059660237581734525277105311105966332157216392808068130534184489915348755805891153132578730136948996369889921851715081595723736783437395735938526258675650945034825807335076362685543307841888597991339975714972565847896989735110284209455446864084303,2
153024256700796450768191336247700274105513898752571453970190591446315750678210205237981400598289575378994304638552461938055743108643643286927424522316077643135525555314186822379418862991471167932887109642103278570145851226073444396282863874816189611514668776833077394650156911264697901615730812257250625861007,2
175369470188344768315866303715954913325489696724999227784103347582634666175136728880442056295724858679573773709947619813211008507263462701372398129019658878670683419513651766370121158897119441253498537765894350444611306531181715140204740872251009773729744480793237005343983351803557063167477235729733013809223,2
114972660081977797302939484072807508274118351648134597680723536684534794012532012471276268824671319933290255605580395491387430172367742747922571236076473412772469410085288756084485799815709231599175527671013975431472065142037386630209856503438193113635327738496605236083013954099475218329994752555155213118027,2
107593559901911477214067915098308419446387141119180823827295941487497839230167222153528329939258767635118599102220484943375114541721278592904923841591047245941798161107298855871203015932096235203827392994567172040648865089815898735940993599989495392289898669363743924772558104417742245050055666284146359531547,2
93517840314938782252295530843516468097245990784964310041184475030954175622603360526390461746038559438444420286118221267390905614413615221784561401222022794598069140942563546024630406014732438985070644391947962246311276333358314555205225166216555291197910833160541569652785820068939366833937811618618662033967,2
101503144155214893303682068112113026823982307880261290729928319122159567169121632828039430786246192049527653481273595791700203138007872340369108224798072478018629511951037825759925094043729259091845888208008989602803805328186822732513275384616055430630889025521494313865832487960356894958701030791695973396023,2
91918875404954235994572808904194831665612740443232483081764214615303652601981054339844726315370717168570571445852895579244812152165151108406980245408548578474160765342797645297960289629776375218073821114660161692206784056762517883848092645345161541355643597896778152454188202597454514533126530773260512286423,2
154626696722457354081306922164768023234596242055641306071959060777316882706453327440485088233498505189373037680432106518022247001961576993628046683127958750124546751721297708801789210556523556358197564063405242915022244462671258633165697807471234948337984370137619152476068180477222536975637838550647801939923,2
91081013159182471798330601749523429797782551864080613746004606223637344543219011506001295349891341442691265916223146684655428881357753246091662487791091915346455573248100692862056125950530738110327200973967186104107836757931874133661976895434637692245441474883920791045379622062228423428198650142298071919503,2
168694228519464968258670283828749903943311872893569320924923039113198189395251953038392455844693867921304862544397896810405414933889783264377034992016215569189759731302778200719901035141803456506786865583963720303746391378279020702287638778006711788611227557864390388301623216980074635479620385032912613594907,2
155897738021464710939956591345408608593810088707288797276932177096186940694198678963445099385542904909943955887973720036721527249913781187459206483065392129771319592548920171021634619254649448546637419014755317636237487596975808559860503540646988594164339013055954889220492624075994415683911713129481408071083,2
151289172727568509231205331313935786357563731414030571870980704233984134381466730133594301363758750573677612100942481317168985825469299044700238829680009283026092910737293835761036979459501595521249535364195372911866817164952311007276488859606987161065266731934113982957393945532876765180011271854403810009423,2
119900984425259498405042686905179105620978101340733345337512084468997621172742041606331176378970958118623165918703131132275674097949938122995394322529389566255655850563309437412322227669494825261959026351810831916393879931050668506805470029527171077737829293062953058548480348034954013158474465475578535953707,2
116123419925414562457928341613692763784021189018689603333398469813790344522486143298650884051242277416183885170423956343198214167494637980509035816759356252269210690910679405928877405628062229387527050894533081749245119037066554108157950327576754133676905559630830821090807550833652012179919796089702125968807,2
160116306185194372911683644797911769565402965691405592582365750670310840240891212994324846769756108963054467480109151077765080524632959916046671529608264874785898750350047221814555402547298752908470659681267927001619979154584020998629322281756556013889483907104629905367688498989288960055550353134072778215943,2
112773783898236472407496246587464320054832243611891585129520432854694869721647935296426417013768519392869613072348167337660119143376593851451634690440184757506952066368692839047808784677001277944361177600612714202663308117817292245993369010454511450009162074903088994693988662389372163832949682411222722629087,2
160266084787655029912513007132090497015006972212741630424445215305637910217391710871244976791001015915365266775186499142453468386779903947873995358991477870872199196499966825522423911811099524628412716949900928086988659756973455794208769630440792051274022013234916061974983265276098962899387067776697779413827,2
112586229769294757744157518018335941293745669951963587337405685608744706811904206534708324151934723871546858835895631418829344606403196019792402212387030691803985306122661581643053317799174284590438796232221012525058943414223166979767798935859406528333793019715457354435521021460653518611801289631059422343947,2
153349660874654751977843567884506805860917164228939581300419539540408413047963901970352762798487823366416550239160895508367242720321975338686355217679266748172988237849325985202021401677705730849433387701451527276755833079217433585820503156736495573681586996103939327897040914431380306476635773565029168371343,2
134021229497870294617089053371401103231810047315101721373166953059270848983443675940307926101371915972364272750156739376668134578623115584845145273932874858085737625841142481689314464383596450867100442488608516430179505398023461046261522678825967084812756478441564637714117877116911587862228676745143769731463,2
112432683386672653766852286709996435101814621711919774684225984599413055641438704863343477350604539733807561098481458905863439524105040808841598058039828164910982095514948648418551887551497556936613654485874846404237215919224339533554315335592211028563133909695071230962499029760847492582724178889051605429167,2
114891349325481764677806069425931447516613993887665222540772524900926966302535083781591829123654244753997917576403246336959666043717016970872327681365419063136404038998547572100073687474852019887839688570224626323595860590645073604536224810955070301800669204246253317724076896799160545615141719145719098281943,2
152521044983325710693236579818014394692708627727648456111984271803748332751338979252224028618146434418587861750963986768719599763466475231499734434275054395021622691240514370823426290207727662916973870599176754395576655122226656473642839864658924876679623413475732120686537078962565747145567790889939157946583,2
172531959665652187730426120408510661145145668692190403260227538807885540256921879688511866417445001430263488670866901208531016288034293849337573287465957113095956595744785953999913907019137372635116691069126002681602848562692247470408041582726681098226422066735615841980704366284545009929401000492274992020023,2
162294836767516852030478648021784142341755265497643200054515519406841452329666115115421620561844006981729130185029763326452948031458308208713587558776479092869591191520235535530983473407315016257989967165827585231350528621296709344630621704402217926084093971802124924783508554088091782188482201603796106606927,2
129805174629298231156248044344290905779681644208071031288114003201366945967726226074534688019904359452822301031350416313053984296262141348080884738085992636298950501349670031589615793509799602888371010442900514715880208369974924180496025012795751572009025996905130876327638007388497499969629447463033485880663,2
93684749911586215341169041768846287122633020885714148094115537876497222141231383109352543604302711703997302422811381890065367117494682296155399190030528609522966727338800482929783997921672545206716573482923093572300817462010119057965548760327430438382395685246166670959286827647895991396984719573404949339943,2
159005527961760345678068207910225984573787648681635516109818292757686642085628041200452140233323294397062399368396956762494799095524558177050758021600667877685760926583233080691992140385734751152257924226953171134614785584987048045036586649817831665624091553008483092590055700525381489488615603216830691029907,2
123261313676523084343404538107919201854045488332671699562439815791200516139863009726939252851388614089058378700388921795280614778769443873484199109311956185476677796002961593394537689509119748280045301070902760530553438073246942207888506492124570863041677668518179786251135201499982731149113632208401712930763,2
91546002215198210072404070329580106149915298160514028493445214320390557358561548350116363994223129763102059943034158347252100036161650886159503470358963915429682429865654844285442511066809511948381170501847644670946863660985420930176601877536009221441703641972124254278875216939542465597639333368652074873687,2
148700221757891983943337633451826301984291408257188639810261740137731543413935745002826178071512506081602056595072550039540878423556085089588601007149988069616416045216622412621858492356266753858541898430056196024905394049257736233583236223969604165695856088470128777817550353491584823639041820901208761870707,2
172810427088375080042141383765940178192841057297911478618656187889785704128593246816948050253508496719057815398220441532491123876801707872412725653966326095587606669789574976756281755410213989568798340818563005944954594149682124417579968979849236389556922286917571329439459240714309604647189312723338913122063,2
128993808998752611503427322220011202845710940538478808446914453377696279614423463905586691749624096540363603892334185962408677418761847629919281137784929679977569180414311214641625638937230204323758060182432476467354550177873755624841191047374569083076033479165149867163111052116295980395844588679577477833807,2
123786496544595153876227695886688112279568369410663662982035842508574890421730591231280166134372724304399316895097156995680578367398440781917540511374405121867340213691791662389389576785988546938364889001806886591160267219920975022057475172157428325637858882334859336521387635629446224299748430558630087656927,2
109576710138389359024122391725589577854144064018637509745707942089701672492265762401172041088380173351080473393286384130071326360315399730071438054849056102475862380201639287132169013079822634233223490521568360345795148790468440759441601573864132498840706538956097763580847554758802452527786015140901458871983,2
100738375927457134859529077711765752837829076799422981169957227363008011569291110835801026369320759179653077145975679892377620460869385476763666619032352540693498162373881747564880319696441365194813600995078491152465258026918278301797307385017550668350155731794018433683888682908147883310403162596050567601063,2
176271281145681450808362863527994981539941774097083835774967006510665410215428991592178388131040064998261230852117325540261361160137571094500970497296277440740302957485960653550254144474323029598091064805026517241620628414808099500118676902162936445330528419156846680204957874240899584229566958848808147863123,2
179300456158465689602367699927962948654599020316989772833857735520153192405995318621650382812166511627589225013550868875560345579613040962175586104585633091011511431548035089557629566579795793951088934036139553375370344430059353663919451194524229581221977287922285380191518895025234345733702602359125521583523,2
148824937219327597772259649956153686734538399534519675314575714911788429024289141783189260953684010231082387757146521877736046731273663267270292143110147671433286760722117049365715764070275740128760101327995607569217269934827396501718401459639376311277157388574766586399603218644875697882865544802315817977747,2
176944954898019936735662907202466687781547499142051909148025390339500984449801288405988255423395588744942977156873952655571305643512611187097937630940910414767216280161977051059990920323601337095496001897895072709734638087638373501890365054672972578673470401313677371614114358219681845802874230427887919727487,2
159656123999898698774161010917429719140702091985090486224365245217736601141076325202620636574455715210860033345092935687854092090053361311288142773703539779835799502712692553876656618044289893201536680032174212931769053087631851189377171464821296578722268533798559347617303843804824682946273189305616240761303,2
155457842801341906402960018333543308828401628861656199449842361585607509851896204121625580512738503648626819906645032586043565084682809288805939718705452108002371491245517286335477005316087652331628487449978944897084468610641689021722235349411773533652123682216586592574763588367751928782623402398584242013227,2
120183498663911162010044012140836285992429201191780983961567106687123890044621719325214446523830257967178952192652230479560779830143243623029036183756732348971510231894894331383697354491328684356371351374151080032895220943552418165124912463659510017129086486289465655131171372573726994905011965073270509091403,2
107421710951623464564667725298870053335067587632445186229845072630301609157099100380784487573474530372451737045569024836281038005989536634257441235831649657485960175047994642856034164474844174505288391448305306207945597498829977708091670332066850193121702106234596224300068834925785913905478550681212054919527,2
159772442950380919797149677918297663326431711182980774542013691428287882357371088119901949958672527819910258979862399264059355015398966374081989890459740895336045908518140738769171184721879871242046049802627346841893007612781620453565816474842785354448911829958041097027409584546477788786887029748415474232683,2
110699625466417496192535890941651514818371578144518607934993262201065823062084927748499778214662458864995109638025923277274674722776333455224142482162560651421892879196105271939440070264000114800784075649597551234962516514115519797542923895138790078878013022360357475698247784641451587548364326598614569568143,2
114088729653464474822861280949055217077947468889672516516266044104304605528373409647521510992059807369566791198506109977138021252902429079570771144445040496155934108915060998380957598194423795961793071614890261656629252850310718997148435331683395253290535084114914066260404242981321937236357308750513672255207,2
132780838998171891120172273477232274051518059343349427380825584527700555698726419788246209840815521766865913216075416873889765325889059027512166539898873092486725110626778234195252965843297611146834182776485426713714306958744974288957316081636526758605383994210920864423273717675615528013501891861376666356503,2
97318174794735095315819563594055173593832066819367066444559937606909800078223483483231581305135102147847149763901081177079812317962662808618246392904819335062191770367087626265165958161626441572161299319091434730342943894441660115160108806799431844301500678307926420800739762270696041095802265755606178646747,2
142358098271810026952702116192682110474942309811835072905791609198240308930656364556125514445854145569787636230377406033559179027519855884196981040833397159035550316799895697042917852798802681923576278174261968431870742659562035017128949444303446282496851669131356618783164958260235154794140588225030828756427,2
166134776687740132829369527484929454128350947840133157872255598029247942865773013670109946809602528386871447592989136725417352541962168789541214039402843151484830691157016112758049467842952608024195932565310662070711662135092828321326519678060961654642699795117763680700759372911547457945637138326998569834047,2
107914671133828756560140891704395037033596265786710450810411098166772779291252869134198381585203035859895154731734672913345726878168685481545625464752601119308375203321856797969981194462455313005475236069380269945731168825531096447285843775368036151456044229684310098376223034738996866535857196168136188197023,2
105395727887479651358480675540103039988458496662929322458020495102213399734582083008881670815844930957505972290661123965371641723857167964636766870049564175775909477416036449145177542235214100838942596667874513105827632907169619108713526109154358526396122820255272371268733970791457311600495340589237446614663,2
110347500270535548136847890473712415282656695100547368327526802592735519257622669973709773308551054546284572037594648684590991152611815833861305885292202967412668036110362993597813127869268548098005718944372347873119201165538218989890310091081779715907410633523614894338557868713860377891093044911651623794627,2
133649029589106647898513022472109745153711637071843328890186510561044621248462128645463503218138710144544161711035061407894564335774075417214144941473946803356998453973441233686602274947290976273647711765327877685058685944775023339942035722530123126025858540459506321891151906640643321278751427529944002352543,2
150763483640109165238212601504812246572657705411020644408456362933252404087906874571764256398698408233705917997056427267618664878484639373015430228704055894905993418652318639905664744339651671586284707481536418735780578552598576283551712141080548444015659103298685469139519401772437681114244176640479963019043,2
112119001740509830634902213089321296131046148684739066138146590470910191408141271025836450624194695605395788601773922896721590388830183036593981432959562509786643417305182681140688650582845006948269295916273466069869849388168879858465106531645136065255986726702267284138126924931183488524493700361029469473223,2
177510670182968105378626365344821790685149096089547819898525631551170706453475565804215324861545494943255194730630628505087142973560519557722009365328440855540381994895850895521258887742474302981779828219699757059456331238683485299943990488418489606257663378593420706848035902391178504483473992005630141626963,2
110395146636375491981683382191574056272633673794966138325762886921914048542369690086703259592269978459709742183459284241850267589482023542004363451638428774645462931927981425148323567644709335522906397129077377897465331611854504016439541792909042555284836954755723508806455741074639966108520322262438689172727,2
141486670911596753982841103198731442313887515841861643668515078318169852592413554916080946882663545601791325939669379519296115810296326486712870675797991717768099410629177528728800355473590349085156669983202501463200956199668152996852063123180611795109965392381263579563926360217016330415297986403905148327207,2
98339375372587338029584418536761828540127554787406896379311303011626186295020396077503417206617643266649583316932319610094343287627330044883420776313333033565668827836417987595220615383877541773211742485331870182489553120541891554752931789367444234639565887909918332415951645546704048718172918634196035181067,2
169885222213665958531703775458038875828434257171481151890251785621435526404559400448044677770764215564570108552640435152715315908323088589928013749035853299001933368762808126779981596922727870475877117209559366185565807095789991415412234557726941913614586006512525352122265846716340721491087630595530256648027,2
179455919575234101332197581407479539595993335130197463723291698686168781753509189344270136868921427429241541824200155207843274340632119613190285937779836269432379682676079371225883155702025859558012752921501787618605730058912479212700681692894439282511032265632754329143419080628881498972700136074492666205843,2
142625357375027349927765809889875997109075181516592056802745556119942952693869751990612106301818291381117170806202139120628745352192798592403014223984087805529839231153096691888778476328553311462446685194641629079653308155397517055081949103633355179276102496955493108591667048697103511609827531977722471136927,2
163472608389113292626504156297158188709144148389238121926194889751338470222968979441690957549547964385031669314474837591967895859928730947388864642010067499745247493489123387721121603976031169201631298529439840337592014226841349003104077580321231729091181753876249374431911946742220025645198241334101586115367,2
131054790761019131185079863269262058309427341096677807557209715209735315310010242034370359043085497721008279452102769988184778970772000491144010840870119753893901303589244221924801071441812044330000925309767465614206191681596946976094693234563636093971743908479679799559425694308728340923191480238599560203407,2
111961333145358661030306983826161591368188829227044915278916304140832576573840458513028131519304536475295892594259830451630940991968174068875284408602356861521993908758597365300162054268163714833860431481636014689374616172498003182006924259984717507305212585278798202447324052417368935502761787767851719985547,2
127675240776391354651234843859521336054537042711869433681348905700728315407686157186089476646458311582931055413845387712574153673863640738358875184776066350794262302669472839553005157226065592533215189743948073120907631592255214239502723942036552319592251781804240321774539740998314220216662923596407999060743,2
102288212449824146789905669148366998407201583846606144775854338499434798046711689003120418319470624331781748324607784142291392634160323232267666551557490439300627002676190079735689717076090906647431465018967157918789878627276166177097818926969156039373344398944740930132572104525920359179597497251203690227547,2
174077879473878821882717656348504643767627535562118263686494543567367196677684567082164235900972845241240241464571079312554405148944431948687212238222740808257273711881210097937202290564541347165876346819565389038038107830893071943859581783093281254846150995609278986711616532079762661215899403257540696945827,2
147781953497967396878096234529707317496801244134541472120486822926854581775203041507659035014410649276758883105490725091788805577068851915185086891424032297033676037555882972579569761687646707250046563304328067978072478794761996684316359209421223743933660894980325347970849863782882983218533210061264846195847,2
171213063486833968973220781571445341280072977614944762687751897614598251219121025975601578052054159966213371654504023570491162302410026369239388255879498904901426394729030257865611559629420504492123033532455103042699221260544284352824194141200372650673829037746754907331135875877542931679855858404323885889187,2
130981582598822117382637078307687617381499197743408889444114031056304940859039684431768045581895968529859531782883744033989888208771509244088259442044895964250714360401959453369582277310699368656798525758297559335735669655937219712336487881547823703263557543106719495526905324494448026309729669527088655333003,2
96359486327191343072528921741984990510349509914007999063321144032964701603620620764164293490764853545066665423826614623998525760823153389006660004339252359035973814162507993571248599728787630638468224495896909952025844304065049848192510476839623590303839848523390515049299344017715348047250766291834695021263,2
